item_id,item_name,stock,price
407,space,352,215.62
408,this,763,277.44
409,born,360,352.91
410,behind,277,156.78
411,specific,236,64.72
412,change,197,161.2
413,sell,760,270.25
414,shake,780,346.63
415,company,196,112.11
416,hard,495,141.87
417,blue,603,488.42
418,also,537,300.41
419,some,102,417.15
420,get,303,117.6
421,house,183,154.62
422,officer,725,269.4
423,whether,280,27.53
424,section,55,278.91
425,glass,714,472.32
426,Mrs,653,434.89
427,middle,502,55.78
428,office,12,289.16
429,edge,480,241.96
430,door,348,96.26
431,her,52,129.98
432,than,882,241.48
433,too,841,37.35
434,college,503,41.67
435,network,644,344.79
436,system,155,78.85
437,according,576,474.82
438,executive,87,496.99
439,when,121,281.25
440,how,426,305.13
441,hit,809,311.12
442,score,794,263.67
443,reflect,461,454.71
444,magazine,304,430.78
445,help,439,156.16
446,claim,635,34.81
447,building,983,371.34
448,single,970,382.55
449,population,640,109.46
450,return,676,45.19
451,when,245,91.04
452,thank,76,82.48
453,rock,418,228.0
454,pretty,608,237.61
455,market,33,119.58
456,develop,723,144.95
457,to,880,229.75
458,nor,703,120.54
459,executive,270,394.97
460,campaign,640,296.95
461,else,823,467.17
462,campaign,435,61.81
463,particularly,230,325.58
464,leg,930,136.49
465,house,145,40.35
466,common,169,397.35
467,prepare,609,375.73
468,size,582,460.99
469,arm,449,66.56
470,lead,705,155.53
471,manager,412,471.62
472,officer,512,272.29
473,model,448,44.82
474,small,40,445.26
475,wait,752,164.55
476,ago,256,17.8
477,brother,234,481.15
478,necessary,856,430.96
479,believe,601,475.64
480,white,783,337.78
481,tonight,275,290.24
482,station,781,379.35
483,tree,481,261.89
484,way,452,458.46
485,thus,185,498.49
486,staff,446,319.22
487,might,503,484.68
488,something,481,177.24
489,nice,341,163.92
490,note,107,429.58
491,peace,337,208.76
492,hot,507,147.67
493,three,967,203.22
494,decide,778,277.3
495,among,465,48.59
496,small,258,165.02
497,adult,993,387.41
498,someone,885,259.73
499,newspaper,1,330.54
500,bag,555,233.68
