order_id,user_id,item_id,quantity,order_date
110,3869,438,6,2023-09-28
111,1628,352,6,2024-08-26
112,8921,462,6,2025-02-08
113,993,204,5,2025-01-06
114,3110,496,2,2023-05-11
115,7451,47,4,2024-03-21
116,9784,498,1,2024-06-18
117,829,403,6,2024-12-23
118,3991,65,10,2024-08-16
119,3363,36,9,2024-10-02
120,3395,301,4,2024-06-07
121,3818,169,3,2024-09-17
122,9765,2,5,2024-02-26
123,2371,67,9,2023-08-16
124,4107,409,3,2023-06-09
125,1802,339,1,2024-05-09
126,2160,8,6,2023-09-03
127,3899,302,6,2025-01-12
128,259,90,5,2024-12-28
129,859,65,7,2025-01-19
130,8620,59,2,2024-06-19
131,7803,230,6,2024-01-19
132,8409,304,2,2024-04-05
133,7406,258,4,2023-12-04
134,711,373,9,2024-03-17
135,4942,235,1,2025-01-15
136,997,246,7,2024-09-13
137,6985,352,2,2024-09-20
138,8033,365,8,2023-05-10
139,1205,461,2,2024-01-23
140,5278,312,3,2024-03-24
141,1077,65,5,2025-02-05
142,9591,281,6,2023-09-22
143,6241,306,9,2024-07-28
144,4832,233,9,2023-08-21
145,9920,221,2,2025-01-25
146,1875,437,9,2024-11-10
147,3523,221,8,2024-07-25
148,3744,212,6,2024-05-09
149,7431,205,7,2024-07-14
150,1558,161,7,2024-01-25
151,5121,341,5,2024-12-03
152,6133,489,3,2023-12-09
153,7771,35,2,2023-05-13
154,1399,48,7,2023-08-06
155,1583,382,6,2023-06-30
156,2132,285,1,2025-01-26
157,9609,490,9,2023-08-07
158,9203,169,2,2024-12-08
159,6731,182,7,2025-04-09
160,843,496,5,2025-03-16
161,9838,160,6,2023-05-19
162,1698,296,9,2024-08-30
163,3486,80,8,2024-02-25
164,3675,434,2,2024-10-27
165,5737,433,9,2023-12-24
166,6023,59,5,2023-06-08
167,9407,116,7,2024-04-30
168,9191,499,10,2025-01-19
169,9122,14,10,2024-12-09
170,4382,15,3,2023-07-23
171,4478,360,5,2023-09-28
172,5568,180,1,2023-08-02
173,2973,446,3,2023-12-12
174,9279,337,7,2024-09-06
175,1141,73,1,2024-07-12
176,1504,383,9,2025-02-05
177,3525,193,7,2024-02-05
178,7433,175,3,2025-03-03
179,6063,160,6,2023-10-13
180,9300,306,2,2024-01-08
181,862,80,3,2023-08-30
182,816,346,2,2024-07-07
183,4459,227,7,2024-08-13
184,7958,311,8,2024-03-08
185,6786,140,4,2024-11-10
186,8395,59,6,2023-08-26
187,7044,57,5,2024-10-30
188,9718,250,9,2023-12-05
189,5054,24,4,2025-03-15
190,6476,307,1,2024-12-13
191,126,105,5,2024-05-28
192,3461,393,3,2023-10-23
193,4187,149,6,2023-08-03
194,1966,4,8,2023-09-21
195,7056,90,3,2024-05-11
196,6230,273,4,2024-12-19
197,8197,287,6,2024-08-29
198,1181,204,1,2025-02-02
199,7148,10,8,2025-02-21
200,1276,442,6,2025-04-10
201,9434,220,10,2024-01-21
202,6627,364,7,2024-10-03
203,4744,59,7,2024-02-12
204,342,495,6,2024-02-06
205,2816,411,10,2025-02-12
206,7539,426,6,2024-12-12
207,1444,224,2,2025-03-02
208,3987,224,10,2023-08-11
209,6561,269,2,2023-07-13
210,6485,446,5,2024-03-08
211,5563,114,6,2024-11-07
212,2755,40,9,2023-10-10
213,1869,272,9,2024-07-26
214,3177,464,6,2024-01-29
215,5753,373,3,2024-07-30
216,3872,53,3,2024-02-20
217,4194,102,3,2024-08-14
218,9870,79,2,2025-04-07
219,2903,488,8,2025-03-01
220,7602,387,10,2024-05-16
221,9495,230,10,2025-03-22
222,5296,443,6,2024-11-25
223,2474,226,2,2025-01-26
224,7683,227,5,2023-07-04
225,4501,303,1,2023-08-18
226,5767,260,2,2024-09-01
227,5086,237,8,2023-08-03
228,617,30,6,2024-08-31
229,4704,40,2,2023-07-01
230,9734,260,7,2024-04-16
231,7582,298,9,2024-02-04
232,673,231,10,2025-04-23
233,3085,165,10,2025-03-23
234,7793,257,3,2023-07-02
235,1014,231,2,2024-09-25
236,5627,366,2,2025-04-29
237,8267,331,3,2024-07-20
238,642,127,8,2024-08-20
239,7200,269,9,2024-05-11
240,9992,82,6,2024-12-15
241,6109,470,5,2024-06-16
242,6348,210,6,2024-09-26
243,9796,27,6,2023-05-27
244,1080,169,2,2024-11-13
245,9142,348,7,2025-04-02
246,4656,130,10,2023-09-06
247,2464,171,2,2024-04-07
248,9548,340,3,2025-02-04
249,5732,159,7,2025-05-07
250,2113,305,2,2024-01-10
251,5073,287,7,2024-05-16
252,5382,417,3,2024-01-30
253,8625,48,7,2024-02-27
254,8332,186,1,2025-02-03
255,5941,159,3,2024-12-16
256,3510,175,8,2023-05-19
257,3146,116,3,2024-12-12
258,2539,40,5,2023-06-23
259,1658,260,9,2024-09-27
260,8627,20,6,2024-11-18
261,2148,306,7,2023-07-21
262,2528,84,3,2024-08-08
263,2713,370,8,2025-03-18
264,716,211,6,2025-03-13
265,3892,497,8,2024-09-06
266,4669,386,8,2024-12-24
267,3834,274,4,2023-08-14
268,5071,495,8,2024-09-04
269,3179,189,10,2023-12-11
270,7219,237,5,2023-07-06
271,6257,258,9,2023-12-22
272,6860,495,3,2024-01-09
273,3272,411,10,2025-03-10
274,2268,447,5,2024-01-27
275,855,329,8,2023-07-07
276,6082,284,2,2023-10-23
277,8453,436,2,2025-02-09
278,4671,43,3,2024-02-01
279,4470,231,9,2025-01-15
280,2415,426,7,2023-10-15
281,1503,485,4,2024-01-18
282,7392,453,6,2024-11-30
283,437,213,1,2025-03-31
284,6496,258,6,2024-02-17
285,3863,198,2,2025-01-13
286,6143,115,1,2024-03-04
287,5222,477,2,2025-03-17
288,5494,406,3,2024-12-20
289,2255,20,5,2025-03-31
290,7741,357,3,2025-03-01
291,7686,230,10,2024-07-28
292,87,464,2,2024-02-16
293,312,132,4,2024-11-29
294,2450,281,10,2025-03-28
295,8648,217,2,2023-10-22
296,4721,122,5,2024-06-04
297,1997,25,4,2024-02-16
298,6879,328,10,2023-06-12
299,7490,33,2,2024-03-12
300,8190,306,9,2024-03-14
301,270,324,9,2024-12-07
302,9422,124,3,2024-12-14
303,4773,220,1,2024-08-01
304,5781,124,10,2023-07-05
305,6826,96,2,2024-04-22
306,8577,500,6,2024-02-12
307,1109,489,9,2023-06-05
308,8915,260,9,2024-10-14
309,9080,11,7,2023-12-02
310,7703,23,7,2024-12-23
311,6117,130,1,2024-10-17
312,5851,404,2,2025-01-25
313,5650,124,2,2023-11-02
314,9534,377,6,2023-12-07
315,2186,23,6,2024-08-12
316,8946,174,3,2024-08-12
317,7613,357,8,2023-11-28
318,2987,416,3,2024-04-08
319,1034,367,8,2024-03-29
320,606,151,4,2023-06-28
321,718,406,4,2024-11-08
322,687,162,5,2023-08-04
323,8445,204,9,2024-09-04
324,7757,130,1,2025-03-26
325,3132,147,6,2024-09-30
326,784,444,6,2024-04-11
327,4477,64,6,2024-04-30
328,7160,456,7,2024-06-05
329,7205,459,7,2023-07-15
330,5555,499,3,2023-09-22
331,8130,355,8,2023-07-24
332,6019,474,9,2024-06-23
333,4370,411,2,2024-09-20
334,6956,41,7,2023-12-19
335,9871,422,3,2024-09-23
336,8938,151,6,2024-02-03
337,1681,41,6,2024-05-27
338,4844,157,8,2025-01-20
339,9874,368,7,2025-05-08
340,2731,354,8,2024-08-24
341,5760,229,1,2023-07-14
342,5777,315,7,2025-04-25
343,4499,328,1,2024-11-01
344,1230,344,7,2024-04-23
345,5953,263,3,2024-05-02
346,511,74,10,2024-10-01
347,7180,18,3,2025-02-18
348,1102,121,6,2023-10-06
349,5934,197,10,2023-06-23
350,531,310,3,2024-01-22
351,7372,486,6,2023-06-06
352,6096,228,2,2024-07-19
353,9404,71,9,2023-08-23
354,6013,204,6,2025-03-11
355,4567,128,2,2024-11-09
356,425,377,3,2024-10-29
357,8177,266,7,2024-06-06
358,9203,61,5,2023-07-26
359,4265,361,8,2024-02-09
360,3516,314,5,2024-06-29
361,8048,103,2,2023-08-26
362,2224,437,2,2024-05-31
363,7407,89,8,2023-11-07
364,1439,415,6,2025-03-06
365,5693,364,2,2023-07-08
366,9012,278,5,2024-06-08
367,4915,436,3,2023-08-08
368,2853,407,6,2024-04-19
369,8336,115,2,2024-01-27
370,3293,406,3,2024-09-12
371,3879,405,8,2024-10-16
372,431,185,9,2023-08-18
373,9377,189,8,2025-01-30
374,9039,67,10,2023-09-25
375,1413,34,5,2024-08-27
376,6524,368,8,2024-03-15
377,8613,211,7,2024-12-26
378,9420,38,3,2025-04-20
379,5195,329,2,2023-12-28
380,7373,239,9,2024-09-06
381,5645,66,9,2024-10-31
382,9631,94,3,2024-10-29
383,7089,258,1,2024-09-13
384,2035,266,3,2023-11-09
385,4983,85,3,2024-12-30
386,5287,479,4,2023-12-23
387,5670,486,9,2023-11-09
388,4654,434,2,2023-08-15
389,4106,101,9,2025-01-06
390,4497,65,5,2024-05-29
391,8741,48,9,2023-09-11
392,2763,304,10,2024-08-05
393,2527,88,10,2024-05-12
394,9915,173,10,2023-10-04
395,675,423,1,2024-01-20
396,1331,24,10,2024-04-28
397,4337,334,4,2023-09-21
398,9374,214,10,2024-12-29
399,497,255,9,2024-10-14
400,4746,329,5,2023-07-12
401,7913,126,7,2024-01-18
402,4874,233,2,2025-01-19
403,982,81,8,2023-12-17
404,6810,248,8,2023-06-20
405,3343,175,10,2023-12-29
406,2354,161,6,2023-07-12
407,5659,500,7,2024-07-21
408,2143,390,6,2025-05-01
409,8438,288,2,2025-03-20
410,5229,124,8,2023-10-31
411,2008,137,8,2023-07-28
412,4062,73,2,2023-05-15
413,830,149,7,2023-07-12
414,6851,128,3,2024-03-25
415,5365,479,10,2024-08-07
416,5124,98,3,2024-11-07
417,8164,264,8,2025-01-16
418,8172,451,5,2023-06-04
419,8149,12,2,2023-09-30
420,6443,259,8,2024-03-07
421,3945,111,10,2024-10-11
422,5782,25,1,2025-01-17
423,4610,254,10,2024-05-26
424,7711,147,9,2025-05-03
425,134,434,2,2024-10-03
426,7061,69,5,2025-01-04
427,5993,392,7,2025-03-03
428,5996,24,7,2025-04-16
429,839,292,9,2024-04-07
430,3190,186,9,2024-02-26
431,4729,38,7,2023-12-26
432,8262,231,9,2024-04-13
433,4583,423,10,2024-07-03
434,1947,66,2,2024-01-04
435,6454,192,6,2023-08-20
436,9140,481,6,2024-06-06
437,2364,102,10,2024-07-02
438,8342,206,9,2023-05-09
439,660,24,1,2024-05-25
440,2246,366,6,2024-02-08
441,7762,266,8,2023-07-06
442,2441,311,9,2024-03-21
443,2291,168,10,2025-02-26
444,5219,84,7,2024-02-23
445,4903,304,6,2023-11-20
446,8312,425,9,2024-06-16
447,8722,251,10,2023-08-31
448,4912,244,1,2023-05-20
449,6036,170,2,2023-09-13
450,6825,299,5,2025-04-08
451,437,306,8,2024-09-09
452,4351,496,10,2023-06-14
453,9464,117,1,2024-10-07
454,9561,246,3,2024-12-29
455,8590,323,10,2024-11-28
456,6230,76,4,2024-10-26
457,518,294,2,2023-12-26
458,3126,10,8,2023-07-17
459,5140,215,3,2025-05-06
460,6766,354,4,2025-04-15
461,6724,257,10,2025-01-30
462,7727,447,1,2024-12-28
463,2263,266,4,2024-11-02
464,9190,167,8,2024-11-14
465,8610,193,6,2024-03-24
466,2838,236,9,2025-02-16
467,5609,280,6,2024-04-24
468,4332,313,8,2024-10-11
469,3151,491,4,2024-05-27
470,4572,286,5,2024-04-07
471,3685,483,5,2025-04-01
472,4736,361,4,2023-08-13
473,8012,163,8,2024-04-05
474,5715,287,5,2023-06-03
475,4716,63,10,2024-07-05
476,8900,195,7,2023-08-23
477,5655,489,3,2024-08-20
478,4759,22,5,2024-12-16
479,1295,178,8,2023-06-23
480,4202,383,8,2025-01-11
481,3506,104,9,2024-12-14
482,4443,478,9,2025-01-27
483,4451,71,2,2024-11-01
484,9615,123,4,2024-06-02
485,832,343,9,2024-12-18
486,3698,327,4,2024-04-26
487,861,52,7,2024-04-06
488,5412,368,8,2023-11-04
489,1648,349,3,2024-02-03
490,85,494,9,2023-05-19
491,2588,209,8,2025-05-06
492,7823,334,4,2024-08-06
493,4707,165,5,2024-12-19
494,970,465,2,2024-07-22
495,9407,119,9,2024-09-19
496,612,468,3,2024-07-19
497,6847,452,3,2024-08-18
498,596,429,7,2024-06-06
499,8117,96,5,2023-11-15
500,614,5,5,2024-07-23
501,9306,309,2,2024-03-31
502,5490,146,8,2023-11-21
503,8902,269,8,2023-10-18
504,2199,436,9,2023-07-30
505,7669,140,4,2023-09-27
506,1846,170,3,2024-03-30
507,7519,332,5,2023-10-14
508,3051,8,6,2024-02-28
509,4834,291,4,2024-03-05
510,2876,313,7,2024-11-02
511,7008,264,6,2024-09-03
512,1422,206,2,2023-07-17
513,3028,72,8,2024-11-10
514,5302,480,4,2023-11-08
515,112,134,7,2023-10-24
516,3859,229,5,2024-02-09
517,5401,155,10,2024-10-21
518,9387,6,5,2024-02-07
519,5891,355,4,2024-01-27
520,1018,342,2,2023-08-31
521,7626,158,3,2024-03-08
522,6643,352,9,2023-07-20
523,5096,354,2,2023-06-09
524,4834,189,10,2025-01-10
525,3619,113,3,2024-08-02
526,7835,79,8,2025-01-15
527,9925,192,7,2024-11-27
528,8999,468,8,2023-05-13
529,8807,411,4,2023-09-06
530,4055,349,10,2023-08-20
531,1342,270,8,2024-08-13
532,8654,361,6,2023-09-20
533,1280,470,10,2024-09-13
534,1839,32,9,2024-01-07
535,8282,104,10,2023-12-30
536,8793,77,3,2024-04-20
537,5376,438,9,2025-02-25
538,7240,60,4,2024-10-01
539,9555,251,2,2023-05-27
540,8362,229,1,2024-09-11
541,7430,68,9,2023-09-14
542,6807,234,10,2025-02-15
543,946,287,8,2023-12-09
544,5050,371,1,2025-04-02
545,6488,131,1,2024-08-19
546,3571,297,2,2024-12-24
547,743,217,6,2023-09-02
548,1045,278,1,2024-05-08
549,1131,479,8,2024-03-27
550,520,147,7,2023-06-16
551,2949,394,3,2024-10-14
552,6888,192,7,2024-02-10
553,7349,446,7,2024-05-06
554,6155,42,9,2024-01-19
555,2179,335,6,2024-01-30
556,1944,92,9,2024-02-02
557,6440,271,3,2025-04-25
558,3649,428,1,2025-01-17
559,373,153,8,2024-04-23
560,8921,218,9,2025-02-13
561,6215,422,4,2024-05-20
562,4056,236,6,2023-08-25
563,2542,142,4,2025-02-16
564,1849,17,7,2023-05-24
565,257,124,4,2024-09-05
566,1103,52,10,2024-08-12
567,551,229,10,2024-07-04
568,798,126,1,2024-02-06
569,6591,225,4,2023-08-31
570,8844,112,1,2023-07-14
571,2296,258,5,2024-02-28
572,3837,418,10,2025-02-22
573,5225,296,10,2024-06-25
574,5254,122,5,2024-08-01
575,2348,339,9,2024-01-17
576,3622,212,5,2023-07-14
577,4509,32,9,2023-06-25
578,9694,451,3,2023-10-24
579,7000,285,8,2024-09-19
580,769,498,6,2024-11-26
581,6245,403,9,2023-10-16
582,5223,357,7,2024-04-30
583,6689,77,5,2025-04-28
584,6168,95,9,2024-01-19
585,7759,124,4,2025-01-29
586,4928,440,3,2023-10-07
587,7587,469,1,2023-10-01
588,9215,212,7,2023-09-24
589,9131,272,3,2023-05-10
590,6364,125,5,2023-12-16
591,3332,170,2,2023-10-10
592,7370,434,6,2024-06-11
593,1515,275,4,2023-06-25
594,845,138,7,2023-11-20
595,9912,309,1,2024-10-17
596,1193,97,10,2024-02-25
597,9157,112,8,2024-01-30
598,3423,446,6,2023-07-01
599,4968,490,1,2024-01-23
600,3471,480,4,2024-10-15
601,1923,383,8,2024-07-20
602,3975,357,10,2024-12-18
603,3351,204,4,2024-06-14
604,9046,165,5,2025-04-19
605,6237,239,9,2023-05-24
606,5887,158,5,2024-03-20
607,5893,263,8,2024-09-29
608,7636,51,8,2024-04-21
609,5247,469,4,2023-11-03
610,6074,161,7,2025-03-30
611,750,289,4,2023-09-26
612,2391,9,5,2024-11-11
613,9066,479,10,2024-09-18
614,9489,369,7,2023-08-24
615,4837,79,4,2024-09-18
616,5405,118,7,2023-07-05
617,9336,427,4,2025-04-13
618,8181,282,6,2024-02-17
619,4217,391,8,2023-05-25
620,8038,236,3,2024-10-18
621,5771,87,3,2024-03-17
622,8955,251,3,2023-09-12
623,8883,329,1,2024-07-06
624,8585,18,2,2023-09-11
625,795,392,1,2023-10-15
626,6757,71,4,2023-08-12
627,1114,363,3,2024-02-16
628,150,112,9,2024-09-10
629,7472,192,1,2024-06-11
630,7917,338,8,2024-11-03
631,258,4,9,2023-09-14
632,9039,211,1,2024-09-14
633,275,272,5,2024-02-12
634,8778,147,1,2024-01-22
635,8229,417,7,2023-09-09
636,2938,55,2,2024-07-04
637,8592,77,4,2023-05-21
638,3145,318,9,2023-06-19
639,4136,418,6,2023-07-25
640,4380,408,7,2023-11-03
641,1295,192,7,2025-03-21
642,7521,290,4,2025-03-13
643,3701,154,2,2024-12-08
644,520,48,7,2024-08-16
645,6214,194,9,2024-02-11
646,7799,29,1,2024-02-08
647,2808,43,8,2023-09-17
648,7110,331,6,2024-09-14
649,9271,440,2,2024-05-12
650,8654,471,1,2023-10-04
651,3765,109,10,2024-06-28
652,7791,139,1,2024-09-25
653,1219,351,5,2025-01-24
654,8898,289,1,2023-06-10
655,2939,476,6,2025-02-22
656,257,493,4,2023-11-12
657,9618,74,7,2023-10-11
658,1261,154,3,2023-05-21
659,9240,124,10,2024-08-21
660,6376,347,9,2023-11-07
661,5436,197,3,2025-01-04
662,1285,257,6,2024-12-07
663,880,51,7,2025-04-14
664,3804,430,2,2024-06-04
665,5581,310,10,2023-06-11
666,9759,204,6,2023-07-22
667,486,325,5,2023-12-31
668,7382,252,4,2024-04-22
669,5830,284,7,2024-10-01
670,7076,96,10,2023-08-31
671,6228,44,10,2024-06-04
672,4840,409,4,2024-03-10
673,1205,43,5,2025-02-18
674,2527,195,3,2023-09-04
675,6384,163,6,2023-05-24
676,1746,47,1,2024-10-26
677,5051,228,6,2023-05-13
678,4420,53,3,2025-02-23
679,1431,96,7,2023-05-24
680,7354,286,9,2025-03-24
681,8396,209,2,2025-01-03
682,431,46,6,2024-08-20
683,9081,48,10,2024-02-23
684,9799,402,6,2024-10-24
685,6312,7,5,2025-01-24
686,6780,199,2,2023-09-28
687,9168,464,4,2024-11-18
688,9371,267,3,2023-08-20
689,6238,87,3,2023-11-10
690,4406,155,5,2024-10-19
691,8080,75,2,2025-01-16
692,2740,223,5,2024-08-25
693,6900,154,8,2023-06-28
694,1261,185,5,2025-01-13
695,4041,370,8,2025-03-29
696,9729,316,4,2023-09-08
697,7502,55,3,2023-07-24
698,4992,4,7,2024-08-26
699,5444,431,10,2023-12-20
700,6225,412,6,2023-05-09
701,7213,172,7,2023-08-25
702,9739,70,5,2025-01-04
703,5254,309,4,2024-10-21
704,7849,161,3,2023-10-18
705,6525,496,6,2024-01-21
706,4776,377,8,2024-10-05
707,9436,401,4,2024-10-09
708,5340,193,5,2024-06-04
709,6438,187,2,2024-04-15
710,9239,103,10,2024-10-17
711,8940,93,9,2023-10-25
712,441,488,8,2024-11-02
713,3435,225,5,2024-08-21
714,1134,420,7,2024-11-26
715,8181,72,5,2023-06-05
716,3966,130,3,2023-10-08
717,6933,405,7,2025-03-12
718,1212,230,10,2023-08-19
719,7852,299,7,2024-08-17
720,8756,260,7,2025-04-20
721,8908,19,6,2023-11-04
722,8797,305,2,2023-09-13
723,1792,394,4,2024-08-04
724,5817,86,10,2023-11-13
725,726,289,7,2025-02-07
726,5433,495,7,2024-03-18
727,1736,6,2,2025-03-24
728,4240,114,9,2024-08-10
729,8500,286,10,2025-03-25
730,9425,114,8,2024-03-23
731,6130,201,8,2025-03-17
732,9644,354,9,2024-09-28
733,2470,177,1,2025-04-09
734,7910,54,5,2023-10-31
735,6816,472,2,2023-12-31
736,1902,426,3,2023-08-30
737,5708,160,6,2024-10-12
738,7461,402,4,2024-06-09
739,8538,248,6,2025-02-06
740,7802,50,8,2023-09-08
741,7413,164,2,2023-08-01
742,4920,23,2,2024-06-12
743,371,435,6,2024-10-26
744,1792,347,3,2023-12-13
745,3997,265,3,2023-06-16
746,9043,82,6,2023-05-24
747,9173,219,8,2023-09-10
748,3799,409,7,2024-06-30
749,3023,96,7,2023-09-21
750,6482,15,10,2025-04-04
751,3233,231,10,2024-06-08
752,7038,200,1,2024-12-15
753,3520,106,5,2024-04-05
754,1026,296,2,2023-05-24
755,8797,96,6,2024-05-06
756,5341,101,8,2023-09-12
757,1868,135,8,2024-04-24
758,8647,495,6,2023-05-24
759,9781,199,10,2023-08-11
760,6432,301,2,2024-04-29
761,5701,181,8,2024-09-24
762,2827,417,5,2024-06-03
763,9670,44,3,2023-08-09
764,5132,61,4,2023-07-12
765,5004,60,3,2025-02-17
766,6117,356,3,2023-06-18
767,8370,199,7,2024-10-26
768,9772,71,10,2025-01-08
769,6287,217,3,2024-11-01
770,7974,326,9,2024-08-18
771,2839,285,3,2024-12-07
772,8023,148,3,2023-07-01
773,3066,162,8,2024-04-20
774,879,444,6,2023-09-23
775,158,249,3,2024-01-08
776,3197,418,7,2024-02-01
777,9201,259,8,2024-05-11
778,6704,351,8,2025-03-26
779,6810,364,8,2023-11-14
780,8007,86,2,2024-07-10
781,9264,16,4,2025-02-23
782,4786,17,5,2023-12-04
783,3684,276,5,2023-07-29
784,2756,400,8,2023-12-31
785,9268,381,8,2024-05-08
786,9007,262,2,2023-07-01
787,9384,59,5,2023-08-23
788,8899,422,6,2024-10-18
789,8881,422,1,2024-03-22
790,7232,280,4,2025-04-16
791,6966,53,4,2024-05-20
792,4878,448,1,2024-04-03
793,7369,135,6,2023-06-07
794,1426,225,2,2024-07-12
795,3883,108,10,2024-12-04
796,5745,441,10,2024-08-11
797,7016,85,10,2024-10-19
798,2282,402,4,2024-05-14
799,3391,413,1,2023-05-14
800,9341,180,9,2023-10-06
801,4606,306,9,2023-11-09
802,2759,166,5,2024-03-29
803,4741,294,5,2024-06-30
804,8429,461,2,2024-05-07
805,2222,493,7,2025-01-22
806,972,142,3,2023-07-31
807,2175,128,3,2023-06-06
808,5278,425,4,2024-10-16
809,6435,251,3,2024-12-25
810,9461,324,5,2025-02-15
811,6787,193,8,2023-12-30
812,1238,325,2,2023-11-06
813,6601,264,5,2024-09-08
814,6047,233,8,2024-06-22
815,5363,298,1,2024-01-10
816,1527,375,8,2025-01-20
817,5870,436,2,2025-01-11
818,8757,204,4,2025-01-01
819,7040,423,4,2024-06-08
820,8106,138,6,2023-09-18
821,4647,173,9,2023-11-26
822,9469,67,10,2025-01-07
823,7952,404,6,2023-07-10
824,794,24,2,2025-03-08
825,7530,9,2,2023-07-23
826,2589,226,8,2024-04-26
827,12,491,7,2024-12-03
828,3315,353,3,2023-08-30
829,4946,82,5,2023-11-22
830,1530,336,6,2023-08-26
831,4103,43,6,2023-05-30
832,2712,27,7,2024-02-03
833,5006,372,4,2023-05-20
834,7033,336,2,2023-10-16
835,1560,1,4,2025-01-22
836,7813,40,3,2024-03-06
837,9727,116,9,2023-06-19
838,7292,5,1,2023-07-07
839,5630,419,2,2023-05-31
840,6920,356,3,2025-01-09
841,7827,37,4,2025-02-19
842,6277,46,2,2024-01-27
843,1691,161,6,2024-05-13
844,4903,71,7,2024-11-20
845,2182,329,3,2024-11-18
846,1121,272,10,2024-07-16
847,139,313,3,2024-11-21
848,7211,180,4,2024-03-17
849,2481,471,7,2024-01-13
850,7249,441,4,2024-02-05
851,1421,460,2,2023-07-08
852,2294,386,2,2023-11-21
853,9660,374,7,2024-11-26
854,5760,494,7,2024-12-15
855,5153,406,3,2024-10-10
856,4060,142,2,2023-11-21
857,4066,284,10,2024-04-02
858,9831,370,10,2024-06-27
859,4669,399,1,2024-09-24
860,4943,106,9,2024-12-18
861,9944,261,4,2024-10-24
862,6419,152,1,2024-03-10
863,3922,254,7,2023-11-06
864,1848,124,8,2024-06-09
865,9731,37,9,2023-12-08
866,198,185,6,2024-12-06
867,2163,199,10,2024-04-19
868,6896,188,9,2023-10-28
869,2831,391,8,2023-09-13
870,1196,9,10,2023-10-23
871,1107,8,5,2023-08-19
872,3535,21,1,2023-09-24
873,6521,260,5,2023-09-20
874,8210,393,7,2024-12-27
875,6940,360,7,2024-10-28
876,1351,328,9,2023-11-23
877,8809,316,3,2024-05-21
